N°;Fecha;Medida;Actores;Lugar;Demanda
87;12/06/2025;Concentración;"Asociación    Regional    de
Cesantes  y  Jubilados  de Educación";Piura, Piura;Exigen al Gobierno Regional de Piura el pago de deuda social
88;12/06/2025;Plantón;"Trabajadores administrativos      de      la
Universidad Andina Nestor Cáceres Velásquez";Juliaca, San Román, Puno;Exigen nuevas elecciones para la rectoría de la universidad
89;12/06/2025;Concentración;Coalición    de    Protección Animal      de      Chimbote, vecinos de la II etapa de la Urb. Buenos Aires;Nuevo Chimbote, Santa, Áncash;Exigen     justicia     para     can presuntamente envenenado
90;12/06/2025;Plantón;Sindicato de Celima;Jesús María, Lima Metropolitana;"Exigen     la     reubicación     de trabajadores                cesados. Asimismo, exigen al Ministerio de   Trabajo  y   Promoción  del Empleo  la  desaprobación  del cese     colectivo     en     última
instancia"
91;12/06/2025;Marcha;"Confederación Nacional de Trabajadores  de  Contrato Administrativo de Servicios del Perú - NFE CAS Perú, trabajadores        de        la Municipalidad Provincial de Jaén,  trabajadores  de  las gerencias  sub  regionales,
coordinadores             CAS";Jaén, Jaén, Cajamarca;Exigen    el    respeto    de    los derechos    laborales    de    los trabajadores del régimen CAS, gratificación   y  Compensación por Tiempo de Servicios (CTS), y la eliminación de la Ley Servir
;;;"Cajamarca,       Amazonas,
Lambayeque";;
92;12/06/2025;Plantón;"Sindicato        Único        de Trabajadores Administrativos      y      de
Servicios de la Universidad Nacional de Moquegua";, Moquegua;Exigen     a     la     Universidad Nacional       de       Moquegua mejores condiciones laborales
93;12/06/2025;Plantón;Docentes    y    padres    de familia de la I.E. n° 15317 Cesar    Vallejo    del    A.H. Consuelo de Velasco;Veintiséis de Octubre, Piura, Piura;"Exigen    a    la    Municipalidad Provincial      de      Piura      la culminación     de     obra     de infraestructura      del      centro
educativo"
94;12/06/2025;Plantón;Frente  de  Defensa  por  el Desarrollo del Medio Piura;Piura, Piura;"Exigen    a    la    Municipalidad Provincial de Piura proyecto de agua  potable  y  alcantarillado
para CC.PP."
95;12/06/2025;Plantón;"Madres   de   familia   de   la
I.E.I. n° 413 Luis Banchero Rossi";Ciudad Nueva, Tacna, Tacna;"Rechazan     contratación     de docente  acusada  de  presunta
violencia    psicológica    contra alumnos"
96;12/06/2025;Plantón;Trabajadores del puesto de salud La Natividad;Yurimaguas, Alto Amazonas, Amazonas;Exigen       a       la       Gerencia Subregional de Alto Amazonas presupuesto          para          la culminación de la refacción del centro de salud
97;13/06/2025;Plantón;Población local de Majes;Majes, Caylloma, Arequipa;"Rechazan        la         presunta sobrevaloración  de  precios  en insumos de obras realizadas en el   distrito   de   Majes,   según
denuncian"
98;13/06/2025;Marcha;Sindicato      de      Obreros Municipales de Ventanilla;Ventanilla, Callao, Callao;"Exigen    a    la    Municipalidad
Distrital  de  Ventanilla  el  pago de remuneraciones"
99;13/06/2025;Plantón;Sindicato  de  Trabajadores Obreros            de            la Municipalidad Provincial de Trujillo;Trujillo, Trujillo, La Libertad;"Exigen    a    la    Municipalidad Provincial      de      Trujillo      el cumplimiento     de     acuerdos laborales  y  la  entrega  de  los
uniformes de verano 2025"
100;13/06/2025;Bloqueo;Población local de Perené;Perené, Chanchamayo, Junín;Exigen al Gobierno Regional de Junín     la     construcción     y culminación   de   la   obra   del Puente Noruega.
